"test","year","month"
7.52971431732173,2014,2
4.5807740020751,2014,3
3.02813335418692,2014,4
1.82619355201714,2014,5
1.70133335113518,2014,6
1.82658064842216,2014,7
2.44735488891593,2014,8
3.11266660690299,2014,9
3.79703229904165,2014,10
4.88319995880118,2014,11
4.93987091064444,2014,12
6.01277406692495,2015,1
6.87357124328603,2015,2
3.12438711166372,2015,3
3.06346660614004,2015,4
2.14361290931697,2015,5
1.8486666679382,2015,6
1.60606450080865,2015,7
2.18025808334344,2015,8
3.30919993400568,2015,9
5.80632255554194,2015,10
4.49199991226184,2015,11
7.55832241058339,2015,12
7.74967720031723,2016,1
5.82193119049057,2016,2
5.48425806045519,2016,3
3.60959999084461,2016,4
2.13522575378411,2016,5
1.79773336410515,2016,6
1.74812898635858,2016,7
2.13058059692376,2016,8
2.48946671485892,2016,9
3.15625801086415,2016,10
3.92506662368763,2016,11
5.40787094116202,2016,12
5.86851606369008,2017,1
5.12100009918199,2017,2
6.37432258605946,2017,3
3.60399995803822,2017,4
2.16761290550224,2017,5
1.61746666908256,2017,6
1.67199996948234,2017,7
1.79032254219047,2017,8
1.78573333740226,2017,9
3.92154850006094,2017,10
7.90973327636712,2017,11
6.37754829406731,2017,12
9.17303234100337,2018,1
6.76199998855583,2018,2
4.88696765899651,2018,3
3.64999996185297,2018,4
2.50761288642876,2018,5
2.08093333244316,2018,6
1.61935483932487,2018,7
1.95600001335137,2018,8
2.20399996757498,2018,9
4.16954841613761,2018,10
4.43133321762075,2018,11
7.27393535614007,2018,12
8.32361305236805,2019,1
5.75400005340564,2019,2
5.4832257080077,2019,3
3.38733325958241,2019,4
2.16941938400261,2019,5
1.77746664047233,2019,6
1.46154839515679,2019,7
1.79058068275444,2019,8
3.07546673774714,2019,9
5.73741922378537,2019,10
4.40346654891962,2019,11
7.27406442642209,2019,12
