year,month,gnip,precip,temp,vpd,pet,rad
1988,12,-1.21,3.375483856,12.49122608,7.313290367,5.050064468,22.02129082
1989,1,,7.422064705,13.34554844,7.750838776,5.100645161,21.53780647
1989,2,,2.384428616,14.03785744,7.911285553,4.569571495,19.13714249
1989,3,-2.38,3.784258041,12.5505164,6.615871162,3.445677366,14.41987114
1989,4,-2.3,3.796800003,10.71406631,4.854933147,2.085866642,9.816000175
1989,5,-4.28,7.554838867,7.272000008,2.871354876,0.879354858,6.497419357
1989,6,-6.59,4.180533304,4.412866669,2.410666656,0.537066681,5.573333302
1989,7,-5.33,6.349290485,4.71387104,2.699612951,0.668774188,6.071870918
1989,8,-3.82,7.056257992,4.415419292,2.478580666,1.134451632,8.325031967
1989,9,-3.92,8.945066643,6.797533493,3.671600075,2.307733326,12.69320004
1989,10,-2.34,10.92077419,7.338128929,3.589161243,2.759096813,15.14890316
1989,11,-1.82,1.975733266,10.83260002,6.819733353,4.794666519,22.02200012
